street,left_from,left_to,right_from,right_to,zip_left,zip_right
Bennett St,2,98,1,99,02143,02143
Aldrich St,2,30,1,23,02145,02145
Aldrich St,nan,nan,27,29,nan,02145
Gilman St,58,94,67,95,02145,02145
McGrath Hwy,nan,nan,501,561,nan,02145
Aldrich St,32,98,31,99,02145,02145
Cross St,42,52,51,69,02145,02145
Pearl St,130,150,109,149,02145,02145
Pearl Ter,2,98,199,1,02145,02145
Everett Ave,2,18,1,17,02145,02145
Pearl St,162,168,161,165,02145,02145
Delaware St,2,98,1,99,02145,02145
Pearl St,170,178,167,173,02145,02145
Randolph Pl,2,98,1,99,02145,02145
Flint Ave,2,98,1,99,02145,02145
Flint St,76,198,79,199,02145,02145
Pearl St,152,160,151,159,02145,02145
Cross St,98,108,91,107,02145,02145
Gilman St,2,46,1,47,02145,02145
Flint St,60,74,55,77,02145,02145
Cross St,110,122,109,125,02145,02145
Auburn Ave,6,98,1,9,02145,02145
Auburn Ave,nan,nan,13,99,nan,02145
Pearl St,72,90,71,93,02145,02145
Franklin St,40,48,37,49,02145,02145
Flint St,2,28,1,27,02145,02145
Glen St,86,98,67,101,02145,02145
Pearl St,92,98,95,107,02145,02145
Hillside Ave,2,98,1,99,02145,02145
Flint St,30,42,29,41,02145,02145
Glen St,100,134,103,113,02145,02145
Oliver St,14,98,27,99,02145,02145
Fountain Ave,2,98,1,199,02145,02145
Dell St,2,98,1,199,02145,02145
Tufts St,2,98,57,99,02145,02145
Cross St,124,136,131,133,02145,02145
Washington St,106,144,nan,nan,02143,nan
Cross St,nan,nan,135,141,nan,02145
Tufts St,nan,nan,29,55,nan,02145
Tufts St,nan,nan,1,27,nan,02145
Alston St,2,98,1,99,02143,02143
Greenville St,20,24,19,29,02143,02143
Greenville St,14,18,13,17,02143,02143
Boston St,24,34,21,33,02143,02143
Somerville Ave,100,182,nan,nan,02143,nan
Somerville Ave,nan,nan,101,191,nan,02143
Mansfield St,2,98,1,99,02143,02143
Somerville Ave,184,198,nan,nan,02143,nan
Somerville Ave,200,210,193,203,02143,02143
Rossmore St,2,98,1,99,02143,02143
Parkdale St,99,1,98,2,02143,02143
Everett St,24,98,19,99,02143,02143
Everett St,2,22,1,17,02143,02143
Somerville Ave,290,300,nan,nan,02143,nan
Concord Ave,2,38,1,27,02143,02143
Newton St,76,98,99,71,02143,02143
Newton St,2,74,69,63,02143,02143
Newton Pl,2,98,99,1,02143,02143
Concord Ave,90,94,89,95,02143,02143
Wyatt St,20,98,21,99,02143,02143
Wyatt Cir,1,9,2,98,02143,02143
Wyatt Cir,13,99,nan,nan,02143,nan
Joseph St,nan,nan,23,99,nan,02143
Adrian St,99,1,98,2,02143,02143
Marion St,26,48,27,51,02143,02143
Dickinson St,20,38,27,43,02143,02143
Leon St,99,1,98,2,02143,02143
Taunton St,1,99,98,2,02143,02143
Marion St,12,24,11,25,02143,02143
Springfield St,42,48,41,47,02143,02143
Dickinson St,2,18,1,25,02143,02143
