address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"26 Charles E Ryan Road, Somerville MA","Charles E Ryan Road",26,"WINTER HILL",1,99,42.397303,-71.106188,1,range_interpolation,"26 Charles E Ryan Rd",,"Somerville, MA 02145",,26,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnbl737dwkq9e5bqzh933eag9va5,
"50 Charles E Ryan Road, Somerville MA","Charles E Ryan Road",50,"WINTER HILL",1,99,42.397145,-71.10591,0.87,nearest_rooftop_match,"16 Charles E Ryan Rd",,"Somerville, MA 02145",,16,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbl737dwkq9e5byl4ycflup4pqe,building_centroid
"74 Charles E Ryan Road, Somerville MA","Charles E Ryan Road",74,"WINTER HILL",1,99,42.466755,-71.139875,0.85,range_interpolation,"74 Charles Rd",,"Winchester, MA 01890",,74,"Charles Rd",,,Winchester,MA,,"Middlesex County",01890,US,,"TIGER/Line® from the US Census Bureau",gcod_usn58b2b76jyeg4ecsbwz6nux7r4d,
"99 Charles E Ryan Road, Somerville MA","Charles E Ryan Road",99,"WINTER HILL",1,99,42.397145,-71.10591,0.81,nearest_rooftop_match,"16 Charles E Ryan Rd",,"Somerville, MA 02145",,16,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbl737dwkq9e5byl4ycflup4pqe,building_centroid
"1 Dartmouth Street, Somerville MA","Dartmouth Street",1,"WINTER HILL",1,99,42.389863,-71.097636,1,rooftop,"1 Dartmouth St",,"Somerville, MA 02145",,1,"Dartmouth St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkjl5sdj2g9b856afpayy8v8w4g,building_centroid
"26 Dartmouth Street, Somerville MA","Dartmouth Street",26,"WINTER HILL",1,99,42.391263,-71.097208,1,rooftop,"26 Dartmouth St",,"Somerville, MA 02145",,26,"Dartmouth St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkjl5sdj2g9b85wq8l86546l8wc,building_centroid
"50 Dartmouth Street, Somerville MA","Dartmouth Street",50,"WINTER HILL",1,99,42.392679,-71.096129,1,rooftop,"50 Dartmouth St",,"Somerville, MA 02145",,50,"Dartmouth St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkjl5sdj2g9b85eazqp6gm7v9le,building_centroid
"74 Dartmouth Street, Somerville MA","Dartmouth Street",74,"WINTER HILL",1,99,42.392746,-71.095651,1,range_interpolation,"74 Dartmouth St",,"Somerville, MA 02145",,74,"Dartmouth St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnkjl5sdj2g9b856rpzrc84d8r5h,
"99 Dartmouth Street, Somerville MA","Dartmouth Street",99,"WINTER HILL",1,99,42.393121,-71.095351,0.86,nearest_rooftop_match,"61 Dartmouth St",,"Somerville, MA 02145",,61,"Dartmouth St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnkjl5sdj2g9b85fqz4qm4j5cz49,building_centroid
"1 Direnzo Terrace, Somerville MA","Direnzo Terrace",1,"WINTER HILL",1,99,42.391708,-71.10204,0.89,nearest_rooftop_match,"11 Direnzo Ter",,"Somerville, MA 02145",,11,"Direnzo Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5dab5vbel4su3y3cs9ndcug6ug,building_centroid
"26 Direnzo Terrace, Somerville MA","Direnzo Terrace",26,"WINTER HILL",1,99,42.391759,-71.102049,1,range_interpolation,"26 Direnzo Ter",,"Somerville, MA 02145",,26,"Direnzo Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn5dab5vbel4su3ugfvtqfth6sla,
"50 Direnzo Terrace, Somerville MA","Direnzo Terrace",50,"WINTER HILL",1,99,42.391638,-71.102121,1,range_interpolation,"50 Direnzo Ter",,"Somerville, MA 02145",,50,"Direnzo Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn5dab5vbel4su33yuee72zxcy99,
"74 Direnzo Terrace, Somerville MA","Direnzo Terrace",74,"WINTER HILL",1,99,42.391556,-71.102158,1,range_interpolation,"74 Direnzo Ter",,"Somerville, MA 02145",,74,"Direnzo Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn5dab5vbel4su3vjbprn8pm5ttf,
"99 Direnzo Terrace, Somerville MA","Direnzo Terrace",99,"WINTER HILL",1,99,42.391607,-71.102209,0.82,nearest_rooftop_match,"13 Direnzo Ter",,"Somerville, MA 02145",,13,"Direnzo Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5dab5vbel4su3bxhw9maa656t3,building_centroid
"1 Essex Street, Somerville MA","Essex Street",1,"WINTER HILL",1,99,42.389296,-71.098193,1,rooftop,"1 Essex St",,"Somerville, MA 02145",,1,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlvwqepy4dnj23bnxbmfmy9y8n8,building_centroid
"26 Essex Street, Somerville MA","Essex Street",26,"WINTER HILL",1,99,42.389342,-71.098224,1,range_interpolation,"26 Essex St",,"Somerville, MA 02145",,26,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnlvwqepy4dnj23nlwsh65c35ky9,
"50 Essex Street, Somerville MA","Essex Street",50,"WINTER HILL",1,99,42.389505,-71.09811,1,range_interpolation,"50 Essex St",,"Somerville, MA 02145",,50,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnlvwqepy4dnj237q89d884rabe6,
"74 Essex Street, Somerville MA","Essex Street",74,"WINTER HILL",1,99,42.389667,-71.098,1,range_interpolation,"74 Essex St",,"Somerville, MA 02145",,74,"Essex St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnlvwqepy4dnj236xmy7b9mpw2he,
"99 Essex Street, Somerville MA","Essex Street",99,"WINTER HILL",1,99,42.367969,-71.10081,0.85,range_interpolation,"99 Essex St",,"Cambridge, MA 02139",,99,"Essex St",,,Cambridge,MA,,"Middlesex County",02139,US,,"TIGER/Line® from the US Census Bureau",gcod_usne7gn8bfcg9vkd5dsshv6h537a9,
"1 Evergreen Avenue, Somerville MA","Evergreen Avenue",1,"WINTER HILL",1,99,42.391036,-71.094115,1,rooftop,"1 Evergreen Ave",,"Somerville, MA 02145",,1,"Evergreen Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnh64mtcz5lmeu4hyr378azznry9,building_centroid
"26 Evergreen Avenue, Somerville MA","Evergreen Avenue",26,"WINTER HILL",1,99,42.391706,-71.096036,1,range_interpolation,"26 Evergreen Ave",,"Somerville, MA 02145",,26,"Evergreen Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnh64mtcz5lmeu49j3f9er8v9y4a,
"50 Evergreen Avenue, Somerville MA","Evergreen Avenue",50,"WINTER HILL",1,99,42.391793,-71.097242,1,rooftop,"50 Evergreen Ave",,"Somerville, MA 02145",,50,"Evergreen Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnh64mtcz5lmeu4uspqzxc62jxb6,building_centroid
"74 Evergreen Avenue, Somerville MA","Evergreen Avenue",74,"WINTER HILL",1,99,42.39238,-71.09796,1,range_interpolation,"74 Evergreen Ave",,"Somerville, MA 02145",,74,"Evergreen Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnh64mtcz5lmeu4alagp6f7jfj46,
