"Topic","Description","Year","Value","Units","Geography"
"Household Size Owners vs Renters","Owner occupied","2017","2.48","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2017","2.32","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2018","2.36","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2018","2.4","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2018","2.34","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2019","2.37","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2019","2.41","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2019","2.35","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2020","2.29","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2020","2.4","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2020","2.24","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2021","2.25","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2021","2.33","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2021","2.2","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2022","2.22","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2022","2.37","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2022","2.14","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2023","2.19","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2023","2.38","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2023","2.1","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2024","2.19","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2024","2.36","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2024","2.1","People","Somerville"
"Median Household Income Overtime","Median Household Income","2010","89,276.38","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2010","93,293.97","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2011","90,369.7","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2011","92,473.37","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2012","88,687.7","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2012","91,508.83","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2013","90,766.3","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2013","90,425.51","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2014","88,943.13","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2014","90,246.69","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2015","97,075.87","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2015","91,043.32","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2016","103,135.66","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2016","93,016.51","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2017","108,753.61","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2017","95,204.66","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2018","114,237.88","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2018","96,958.34","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2019","119,782.33","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2019","99,951.94","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2020","124,261.65","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2020","102,489.66","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2021","126,163.33","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2021","103,142.6","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2022","129,454.98","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2022","103,438.15","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2023","130,788.78","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2023","104,318.3","Dollars","Massachusetts"
"Median Household Income Overtime","Median Household Income","2024","132,572","Dollars","Somerville"
"Median Household Income Overtime","Median Household Income","2024","103,960","Dollars","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2010","33.4","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2010","66.6","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2010","64","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2010","36","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2011","33.3","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2011","66.7","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2011","63.6","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2011","36.4","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2012","33.2","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2012","66.8","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2012","63.2","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2012","36.8","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2013","34.5","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2013","65.5","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2013","62.7","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2013","37.3","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2014","34.3","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2014","65.7","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2014","62.3","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2014","37.7","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2015","34","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2015","66","Percent","Somerville"
