address,street,endpoint,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"9 Josephine Avenue, Somerville MA 02144","Josephine Avenue",start,42.395747,-71.114571,1,rooftop,"9 Josephine Ave",,"Somerville, MA 02144",,9,"Josephine Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnacgkbpclzu4jalqyuycjphmj44,building_centroid
"134 Josephine Avenue, Somerville MA 02144","Josephine Avenue",end,42.399744,-71.112289,1,rooftop,"134 Josephine Ave",,"Somerville, MA 02144",,134,"Josephine Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnacgkbpclzu4jaqlmrqnfxm8b82,building_centroid
"93 Kidder Avenue, Somerville MA 02144","Kidder Avenue",start,42.397915,-71.114433,1,range_interpolation,"93 Kidder Ave",,"Somerville, MA 02144",,93,"Kidder Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnxntjmbpuryex79zzmqtmhjsku9,
"157 Kidder Avenue, Somerville MA 02144","Kidder Avenue",end,42.396161,-71.110582,1,rooftop,"157 Kidder Ave",,"Somerville, MA 02144",,157,"Kidder Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnxntjmbpuryex7jjjcybhh9pf5f,building_centroid
"6 Liberty Avenue, Somerville MA 02144","Liberty Avenue",start,42.400597,-71.115056,1,rooftop,"6 Liberty Ave",,"Somerville, MA 02144",,6,"Liberty Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5v4vkhcwbs863fkhrf225k6ghb,building_centroid
"125 Liberty Avenue, Somerville MA 02144","Liberty Avenue",end,42.397579,-71.117196,1,range_interpolation,"125 Liberty Ave",,"Somerville, MA 02144",,125,"Liberty Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usn5v4vkhcwbs8635vju6p5zrnla5,
"121 Liberty Road, Somerville MA 02144","Liberty Road",start,42.397127,-71.117871,1,rooftop,"121 Liberty Rd",,"Somerville, MA 02144",,121,"Liberty Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn4m8az6hnk4b4btd2zuf9gd6e7h,building_centroid
"130 Liberty Road, Somerville MA 02144","Liberty Road",end,42.396752,-71.117811,1,rooftop,"130 Liberty Rd",,"Somerville, MA 02144",,130,"Liberty Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn4m8az6hnk4b4b49gylpz2xdc9a,building_centroid
"5 Lowden Avenue, Somerville MA 02144","Lowden Avenue",start,42.400189,-71.11392,1,rooftop,"5 Lowden Ave",,"Somerville, MA 02144",,5,"Lowden Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnvfzqbxkm8ckvau2pxhucecm4z8,building_centroid
"93 Lowden Avenue, Somerville MA 02144","Lowden Avenue",end,42.397399,-71.115864,1,rooftop,"93 Lowden Ave",,"Somerville, MA 02144",,93,"Lowden Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnvfzqbxkm8ckva6zv9t6h9mwe8g,building_centroid
"9 Mallet Street, Somerville MA 02144","Mallet Street",start,42.399305,-71.113812,1,rooftop,"9 Mallet St",,"Somerville, MA 02144",,9,"Mallet St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usna8ydsa7f9nj7ebq28yuq2xnmk2,building_centroid
"9 Mallet Street, Somerville MA 02144","Mallet Street",end,42.399305,-71.113812,1,rooftop,"9 Mallet St",,"Somerville, MA 02144",,9,"Mallet St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usna8ydsa7f9nj7ebq28yuq2xnmk2,building_centroid
"Maxwell's Green, Somerville MA 02144","Maxwell's Green",start,42.393231,-71.106296,1,street_center,"Maxwells Grn",,"Somerville, MA 02144",,,"Maxwells Grn",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss4k2j96bvhj7qe,
"Maxwell's Green, Somerville MA 02144","Maxwell's Green",end,42.393231,-71.106296,1,street_center,"Maxwells Grn",,"Somerville, MA 02144",,,"Maxwells Grn",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_uss4k2j96bvhj7qe,
"2 Morrison Avenue, Somerville MA 02144","Morrison Avenue",start,42.39433,-71.11106,1,rooftop,"2 Morrison Ave",,"Somerville, MA 02144",,2,"Morrison Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnal6aflubdfk3ccycrpjpk5hhjh,building_centroid
"232 Morrison Avenue, Somerville MA 02144","Morrison Avenue",end,42.397579,-71.120096,1,range_interpolation,"232 Morrison Ave",,"Somerville, MA 02144",,232,"Morrison Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnal6aflubdfk3cvnbpvzu4tmgb4,
"5 Morrison Place, Somerville MA 02144","Morrison Place",start,42.397068,-71.118287,1,rooftop,"5 Morrison Pl",,"Somerville, MA 02144",,5,"Morrison Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3jnvxdsfuap8h2kf9mt8ft327b,building_centroid
"8 Morrison Place, Somerville MA 02144","Morrison Place",end,42.397176,-71.118548,1,rooftop,"8 Morrison Pl",,"Somerville, MA 02144",,8,"Morrison Pl",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3jnvxdsfuap8hdh6nxgza38qrb,building_centroid
"9 Murdock Street, Somerville MA 02145","Murdock Street",start,42.396222,-71.109161,1,rooftop,"9 Murdock St",,"Somerville, MA 02145",,9,"Murdock St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnajnex8vftyc6247evpzxfajrp4,building_centroid
"65 Murdock Street, Somerville MA 02145","Murdock Street",end,42.394654,-71.108468,1,rooftop,"65 Murdock St",,"Somerville, MA 02145",,65,"Murdock St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnajnex8vftyc625xjzg4nn88bce,building_centroid
"4 Newman Place, Somerville MA 02145","Newman Place",start,42.395787,-71.109663,1,rooftop,"4 Newman Pl",,"Somerville, MA 02145",,4,"Newman Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn99ez4zu92euy8xffu3j98b4gl6,building_centroid
