address,street,point,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Nashua Street, Somerville MA 02145","Nashua Street",mid,42.39453,-71.1061,1,street_center,"Nashua St",,"Somerville, MA 02145",,,"Nashua St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss28hfmy924h3gc,
"Newman Place, Somerville MA 02145","Newman Place",mid,42.395698,-71.109624,1,street_center,"Newman Pl",,"Somerville, MA 02145",,,"Newman Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss99ez4zu92euy8,
"Norwood Avenue, Somerville MA 02145","Norwood Avenue",mid,42.395862,-71.102945,1,street_center,"Norwood Ave",,"Somerville, MA 02145",,,"Norwood Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussn4caa7p7jlaaf,
"Oakland Avenue, Somerville MA 02145","Oakland Avenue",mid,42.39175,-71.094437,1,street_center,"Oakland Ave",,"Somerville, MA 02145",,,"Oakland Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussncsatega84cpe,
"Partridge Avenue, Somerville MA 02145","Partridge Avenue",mid,42.394099,-71.103465,1,street_center,"Partridge Ave",,"Somerville, MA 02145",,,"Partridge Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usske6pustx8svv6,
"Pembroke Court, Somerville MA 02145","Pembroke Court",mid,42.390591,-71.100737,1,street_center,"Pembroke Ct",,"Somerville, MA 02145",,,"Pembroke Ct",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussh9l6lzv9m63la,
"Pembroke Street, Somerville MA 02145","Pembroke Street",mid,42.390782,-71.100732,1,street_center,"Pembroke St",,"Somerville, MA 02145",,,"Pembroke St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7kpqb72rkydq7,
"Radcliffe Road, Somerville MA 02145","Radcliffe Road",mid,42.388347,-71.093107,1,street_center,"Radcliffe Rd",,"Somerville, MA 02145",,,"Radcliffe Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usspmskjzl2jjnp7,
"Richardson Street, Somerville MA 02145","Richardson Street",mid,42.395529,-71.104814,1,street_center,"Richardson St",,"Somerville, MA 02145",,,"Richardson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussxe9tm2lvqkky4,
"Richardson Terrace, Somerville MA 02145","Richardson Terrace",mid,42.395954,-71.105006,1,street_center,"Richardson Ter",,"Somerville, MA 02145",,,"Richardson Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6plkvhjau43z2,
"Richdale Avenue, Somerville MA 02145","Richdale Avenue",mid,42.389067,-71.098034,1,street_center,"Richdale Ave",,"Somerville, MA 02145",,,"Richdale Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussfa79hp69gll8g,
"Roberts Street, Somerville MA 02145","Roberts Street",mid,42.396002,-71.106493,1,street_center,"Roberts St",,"Somerville, MA 02145",,,"Roberts St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgad28zxyqgflf,
"Robinson Street, Somerville MA 02145","Robinson Street",mid,42.39284,-71.101734,1,street_center,"Robinson St",,"Somerville, MA 02145",,,"Robinson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss3ua2lqjjugmrf,
"Sargent Avenue, Somerville MA 02145","Sargent Avenue",mid,42.390522,-71.093372,1,street_center,"Sargent Ave",,"Somerville, MA 02145",,,"Sargent Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss4mfw8rnqllx23,
