address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"26 Boston Street, Somerville MA","Boston Street",26,ARGENZIANO,1,99,42.381341,-71.091357,1,rooftop,"26 Boston St",,"Somerville, MA 02143",,26,"Boston St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnetxarccu8q3ma8esu2wjckd8a3,building_centroid
"50 Boston Street, Somerville MA","Boston Street",50,ARGENZIANO,1,99,42.382232,-71.092547,1,rooftop,"50 Boston St",,"Somerville, MA 02143",,50,"Boston St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnetxarccu8q3mazzyl4hgcb37f3,building_centroid
"74 Boston Street, Somerville MA","Boston Street",74,ARGENZIANO,1,99,42.382905,-71.094169,1,rooftop,"74 Boston St",,"Somerville, MA 02143",,74,"Boston St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnetxarccu8q3mapvxd7rsv224lb,building_centroid
"1 Bow Street, Somerville MA","Bow Street",1,ARGENZIANO,1,99,42.3809,-71.096452,1,rooftop,"1 Bow St",,"Somerville, MA 02143",,1,"Bow St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns9vw6xt8cqvwchhs8yjand7z69,building_centroid
"26 Bow Street, Somerville MA","Bow Street",26,ARGENZIANO,1,99,42.381008,-71.097484,1,rooftop,"26 Bow St",,"Somerville, MA 02143",,26,"Bow St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns9vw6xt8cqvwcsg5r7s29mp9gc,building_centroid
"50 Bow Street, Somerville MA","Bow Street",50,ARGENZIANO,1,99,42.381364,-71.09854,1,rooftop,"50 Bow St",,"Somerville, MA 02143",,50,"Bow St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns9vw6xt8cqvwc84ah22jzwc5qg,building_centroid
"74 Bow Street, Somerville MA","Bow Street",74,ARGENZIANO,1,99,42.381631,-71.099278,1,range_interpolation,"74 Bow St",,"Somerville, MA 02143",,74,"Bow St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usns9vw6xt8cqvwc6glx2hfbzgld5,
"1 Bow Street Place, Somerville MA","Bow Street Place",1,ARGENZIANO,1,99,42.3809,-71.096452,0.95,rooftop,"1 Bow St",,"Somerville, MA 02143",,1,"Bow St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns9vw6xt8cqvwchhs8yjand7z69,building_centroid
"26 Bow Street Place, Somerville MA","Bow Street Place",26,ARGENZIANO,1,99,42.38174,-71.098961,1,range_interpolation,"26 Bow Street Pl",,"Somerville, MA 02143",,26,"Bow Street Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn67tns2sx8ctqczy678agur3a3a,
"50 Bow Street Place, Somerville MA","Bow Street Place",50,ARGENZIANO,1,99,42.38191,-71.099018,1,range_interpolation,"50 Bow Street Pl",,"Somerville, MA 02143",,50,"Bow Street Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usn67tns2sx8ctqcf8wawzkj33euh,
