address,street,num,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"660 Broadway, Somerville MA 02144",Broadway,660,42.399248,-71.110928,1,rooftop,"660 Broadway",,"Somerville, MA 02144",,660,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx596jjlmxgpjfh7q2,building_centroid
"675 Broadway, Somerville MA 02144",Broadway,675,42.399752,-71.111168,1,rooftop,"675 Broadway",,"Somerville, MA 02144",,675,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx596pkgfcpzd5y3w2,building_centroid
"690 Broadway, Somerville MA 02144",Broadway,690,42.399585,-71.111852,1,rooftop,"690 Broadway",,"Somerville, MA 02144",,690,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx5964mvmqj3xsuyhb,building_centroid
"705 Broadway, Somerville MA 02144",Broadway,705,42.40012,-71.112264,1,rooftop,"705 Broadway",,"Somerville, MA 02144",,705,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx5969w5x3tpbcb9hf,building_centroid
"720 Broadway, Somerville MA 02144",Broadway,720,42.399963,-71.113007,1,rooftop,"720 Broadway",,"Somerville, MA 02144",,720,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx596t5w9qgpz2lkaa,building_centroid
"726 Broadway, Somerville MA 02144",Broadway,726,42.400063,-71.113289,1,rooftop,"726 Broadway",,"Somerville, MA 02144",,726,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx596qf67ad8cf3tua,building_centroid
"107 Cedar Street, Somerville MA 02144","Cedar Street",107,42.392443,-71.11204,1,rooftop,"107 Cedar St",,"Somerville, MA 02144",,107,"Cedar St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwqmw3dzstn7afld5agkmcv7ata,building_centroid
"122 Cedar Street, Somerville MA 02144","Cedar Street",122,42.392786,-71.111802,1,range_interpolation,"122 Cedar St",,"Somerville, MA 02144",,122,"Cedar St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnwqmw3dzstn7af5bufr4lpkgga4,
"137 Cedar Street, Somerville MA 02144","Cedar Street",137,42.393463,-71.111669,1,range_interpolation,"137 Cedar St",,"Somerville, MA 02144",,137,"Cedar St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnwqmw3dzstn7afrf7pfa6djs3ne,
"152 Cedar Street, Somerville MA 02144","Cedar Street",152,42.393619,-71.111168,1,range_interpolation,"152 Cedar St",,"Somerville, MA 02144",,152,"Cedar St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnwqmw3dzstn7aflye769xfjn5ng,
"167 Cedar Street, Somerville MA 02144","Cedar Street",167,42.394684,-71.110786,1,range_interpolation,"167 Cedar St",,"Somerville, MA 02145",,167,"Cedar St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnm39km53eyflucdrkvnyl6xef2a,
"182 Cedar Street, Somerville MA 02144","Cedar Street",182,42.394789,-71.110773,1,rooftop,"182 Cedar St",,"Somerville, MA 02145",,182,"Cedar St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwqmw3dzstn7afaa7mhfuqljzud,building_centroid
"197 Cedar Street, Somerville MA 02144","Cedar Street",197,42.395054,-71.110167,1,rooftop,"197 Cedar St",,"Somerville, MA 02145",,197,"Cedar St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnm39km53eyflucyg5s94mapnr33,building_centroid
"212 Cedar Street, Somerville MA 02144","Cedar Street",212,42.395559,-71.110235,1,rooftop,"212 Cedar St",,"Somerville, MA 02145",,212,"Cedar St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwqmw3dzstn7af982k3kq2zg8ga,building_centroid
